web_scraper_order,web_scraper_start_url,reviewer,rating,date,review_text,business_name
"1790104070-1","https://www.yelp.com/biz/sushi-and-k-grill-fenton","Melanie S.","5 star rating","May 3, 2026","I've been wanting to check this place out for awhile, so we finally came in tonight. 

We were greeted immediately, and shown to a lovely booth. The decor was delightful. 

We were given water and menus immediately. 
I ordered some plum soju and my partner ordered a glass of Chardonnay. Both lovely. 

I went with beef bibimbap (which came with miso soup) and an adorable, delicious caterpillar roll. 
My partner ordered an Alaska roll and beef bulgogi (which came with ban chan).

Everything was beautiful and tasty. We both had leftovers to enjoy tomorrow.","Sushi & K Grill"
"1790104070-2","https://www.yelp.com/biz/sushi-and-k-grill-fenton","Christina C.","3 star rating","Jul 23, 2026","I have to be honest, the sushi rice was old. I could tell it was not fresh, it was falling apart and was kind of hard. My Tiger roll was not great, the roll wasn't sealed and each peace fell apart. The white tuna. (Escolar) was gray instead of white. My nigiri and the other roll, I forget the name, was good  but not very flavorful and the miso soup was good.

I have to say that there is an offputting musty smell about the restaurant that you notice as soon as you walk in, which could be due to the building being so old.

Service was good.","Sushi & K Grill"
"1790104070-3","https://www.yelp.com/biz/sushi-and-k-grill-fenton","Maggie H.","5 star rating","Sep 11, 2026","I've got to Sushi & K Grill twice now. I usually get an avocado roll or two and also a veggie roll. My companion gets more exciting of things (they eat fish and I'm a vegetarian). The server brought us the pineapple as a surprise after the meal--fun! This place was quiet/not busy both times we visited. We hope it stays around for many years.","Sushi & K Grill"
"1790104070-4","https://www.yelp.com/biz/sushi-and-k-grill-fenton","Trey C.","5 star rating","Aug 31, 2026","This place deserves more business! I unfortunately was the only customer in the restaurant, but my experience was great. The service was prompt and kind. I had the lunch special, 2 rolls from an option list along with soup or salad, which was reasonably priced. The soup was amazing. The rolls were good, but I do have to say the rice was a little on the harder side. Not a big enough deal to drop my rating though. They sent out a free pineapple desert just because which more than makes up.  

I highly recommend trying this place. Don't let the exterior deter you from giving them a try!","Sushi & K Grill"
"1790104070-5","https://www.yelp.com/biz/sushi-and-k-grill-fenton","Eric B.","5 star rating","Jul 29, 2026","REALLLLLLLLLY Amazing Sushi!! I really hope this lil place is doing well! It's a weird location but word get out and they'll be packed! Love what they did with the old bar!","Sushi & K Grill"
"1790104070-6","https://www.yelp.com/biz/sushi-and-k-grill-fenton","Shirley D.","5 star rating","Apr 11, 2026","I went with the intention to get some Sushi to go and ended up ordering the Tempura Shrimp Dinner. Comes with steamed veggies, rice miso soup and salad. Great deal for $17. It didn't take long for my order to come out. Server was friendly and helpful answering my questions about the menu items. Lots of tables inside and warm homey feel. I just wish they would open the patio. My husband and I used to love that patio when the space was 026. I will be back for sushi next time!","Sushi & K Grill"
"1790104070-7","https://www.yelp.com/biz/sushi-and-k-grill-fenton","Andy K.","5 star rating","Aug 15, 2025","The outside doesn't look like much, but this is a diamond in the rough! Sushi K is professional. Eel sauce? Yes please.

So much care & precision in each roll. You can tell it's done by people that know what they're doing. I'm ngl, the pre-packaged grocery store sushi is what launched my sushi life. This ain't that.

***Premium sushi spot. Inside has cool vibe, but I usually just grab take-out. Either way, grab your chopsticks and enjoy***","Sushi & K Grill"
"1790104070-8","https://www.yelp.com/biz/sushi-and-k-grill-fenton","Tiffany R.","5 star rating","Jul 3, 2026","Bibimbap with beef exceptional and the sushi was very tasty.  Service was polite and humble.   We will be back again to try other items even though this is not close to home.  Kimchi and tofu was also very yummy.","Sushi & K Grill"
"1790104070-9","https://www.yelp.com/biz/sushi-and-k-grill-fenton","Dot H.","5 star rating","Oct 21, 2025","This is the second time hubby and I went here. From the outside it does not look like much. However, the food and service is outstanding. We went for lunch this time. I had the sushi combo where you can get two kinds of sushi from a list. I had the salmon and spicy tuna. Both were delicious . The side salad that comes with it was really really good. The lettuce was cold and crisp, and the shredded carrots were a nice play on texture with the crisp lettuce. The salad dressing was homemade, and there were a plethora of ingredients in it. Hubby had a regular roll, I believe it was either a spider or crab roll with eel sauce. He really enjoyed it. Included with you meal at the end is freshly sliced pineapple. The servers are very friendly and efficient. Do not let the outside of the building fool you- this place is top notch!","Sushi & K Grill"
"1790104070-10","https://www.yelp.com/biz/sushi-and-k-grill-fenton","Colleen H.","2 star rating","May 2, 2026","The sushi was not very good- there was a weird taste about it, maybe like water that isn't very fresh. I can't really put my finger on it. Service was nice, and the restaurant was clean. The after dinner pineapple was a nice touch.","Sushi & K Grill"
